report_date,campaign_key,campaign_name,platform,campaign_group,funnel_stage,campaign_key_type,receita,orders,visits,investimento,impressions,clicks,roas,receita_safe_ad,receita_excecao_manual,receita_pmax_sem_anuncio,receita_por_nome_campanha,receita_outro,receita_anuncio_ambiguo,receita_nao_casado,investimento_anuncio,investimento_campanha,pct_receita_assertiva,pct_receita_anuncio_ambiguo,pct_receita_assertiva_alta,pct_investimento_anuncio,motivos_receita,motivos_investimento
2026-05-07,name|azul|taboola|brv_va_taboola_display_lf_mendoza_pass,BRV_VA_TABOOLA_DISPLAY_LF_MENDOZA_PASS,Taboola,MENDOZA,Conversão,name,314.46,2,58,850.9,1483850,1376,0.36956164061581853,0,0,0,314.46,0,0,0,0,850.9,100,0,0,0,por_nome_campanha,campanha
2026-05-07,id|azul|google ads|23296145452,BRV_VA_GOOGLE_PMAX_LF_DESTINOS-GENERICA_PASS,Google Ads,DESTINOS-GENERICA,Conversão,id,201.9,1,1,,,,,0,0,201.9,0,0,0,0,,,100,0,0,,pmax_sem_anuncio,
2026-05-07,name|azul|taboola|brv_va_taboola_display_lf_montevideu_pass,BRV_VA_TABOOLA_DISPLAY_LF_MONTEVIDEU_PASS,Taboola,MONTEVIDEU,Conversão,name,114.35,1,55,655.93999999999994,1702066,1452,0.17432996920450042,0,0,0,114.35,0,0,0,0,655.93999999999994,100,0,0,0,por_nome_campanha,campanha
2026-05-07,name|azul|uol|brv_va_uol_display_lf_copa-do-mundo_pass,BRV_VA_UOL_DISPLAY_LF_COPA-DO-MUNDO_PASS,UOL,COPA-DO-MUNDO,Conversão,name,93.54,1,13,0,116273,69,,0,0,0,93.54,0,0,0,0,0,100,0,0,,por_nome_campanha,
2026-05-07,id|azul|meta ads|120241283768040726,BRV_VA_META_FEED_LF_ROTAS-INTERNACIONAIS_PASS,Meta Ads,ROTAS-INTERNACIONAIS,Conversão,id,0,0,25,296.65,20418,188,0,0,0,0,0,0,0,0,296.65,0,,,,100,anuncio_ambiguo,anuncio
2026-05-07,name|azul|taboola|brv_va_taboola_display_lf_parintins_pass,BRV_VA_TABOOLA_DISPLAY_LF_PARINTINS_PASS,Taboola,PARINTINS,Conversão,name,0,0,6,29.71,30402,68,0,0,0,0,0,0,0,0,0,29.71,,,,0,por_nome_campanha,campanha
2026-05-07,id|azul|google ads|23238931171,BRV_VA_GOOGLE_PMAX_LF_AON-OFERTAS-ANTECIPADAS_PASS,Google Ads,AON-OFERTAS-ANTECIPADAS,Conversão,id,0,1,2,,,,,0,0,0,0,0,0,0,,,,,,,pmax_sem_anuncio,
2026-05-07,name|azul|taboola|brv_va_taboola_display_lf_ofertas-azul_pass,BRV_VA_TABOOLA_DISPLAY_LF_OFERTAS-AZUL_PASS,Taboola,OFERTAS-AZUL,Conversão,name,0,0,2,,,,,0,0,0,0,0,0,0,,,,,,,por_nome_campanha,
2026-05-07,id|azul|meta ads|120240401412560726,BRV_VA_META_FEED_LF_SAZONAL_PASS,Meta Ads,SAZONAL,Conversão,id,0,0,42,311.28,66154,892,0,0,0,0,0,0,0,0,311.28,0,,,,100,anuncio_ambiguo,anuncio
2026-05-07,id|azul|google ads|23731277973,BRV_VA_GOOGLE_DEMAND-GEN_LF_ANOITECEU_PASS,Google Ads,ANOITECEU,Conversão,id,0,0,4,,,,,0,0,0,0,0,0,0,,,,,,,"anuncio_ambiguo,safe_ad",
2026-05-07,id|azul|meta ads|120239211483030726,BRV_VA_META_FEED_LF_OFERTAS-AZUL_PASS,Meta Ads,OFERTAS-AZUL,Conversão,id,0,0,2,0,0,,,0,0,0,0,0,0,0,0,0,,,,,safe_ad,
2026-05-07,id|azul|google ads|23580868242,BRV_VA_GOOGLE_SEARCH_LF_AON-NOVAS-ROTAS-NBRD_PASS,Google Ads,AON-NOVAS-ROTAS-NBRD,Conversão,id,0,0,213,2657.29,6850,420,0,0,0,0,0,0,0,0,2657.29,0,,,,100,safe_ad,anuncio
2026-05-07,id|azul|google ads|23812551246,BRV_VA_GOOGLE_DEMAND-GEN_LF_DATA-DUPLA_PASS,Google Ads,DATA-DUPLA,Conversão,id,0,0,21,,,,,0,0,0,0,0,0,0,,,,,,,anuncio_ambiguo,
2026-05-07,id|azul|google ads|23676413039,BRV_VA_GOOGLE_SEARCH_LF_VISIT-PORTO-NBRD_PASS,Google Ads,VISIT-PORTO-NBRD,Conversão,id,0,0,135,2154.11,8168,246,0,0,0,0,0,0,0,0,2154.11,0,,,,100,safe_ad,anuncio
